u,v,flow_pu,theta_u,theta_v,initial_limit_pu,reinforced_binary,new_limit_pu,overload_pu,cost_c
1,2,7.4618639868526015,0.0,-0.2139889920196571,0.4297304656118763,1,0.8594609312237526,6.602403055628849,43375.0
2,6,2.4004855089213732,-0.2139889920196571,-0.33245791156573024,0.739532694077199,1,1.479065388154398,0.9214201207669752,74645.0
2,4,1.351952695266391,-0.2139889920196571,-0.21423644430314662,0.0897251092871419,1,0.1794502185742838,1.172502476692107,902.0
2,287,0.3135935873448179,-0.2139889920196571,-0.22985091850311357,0.7579504216984665,0,0.7579504216984665,0.0,76504.0
2,447,0.8219099758526885,-0.2139889920196571,-0.23720299020706254,0.4232312567256194,0,0.4232312567256194,0.39867871912706915,42719.0
3,4,-2.7496652500232095,-0.24883624001591245,-0.21423644430314662,4.975061541118984,0,4.975061541118984,0.0,72681.0
3,206,0.8425585982761277,-0.24883624001591245,-0.24904410809114494,0.1917439549398398,1,0.3834879098796796,0.45907068839644805,1820.0
3,7,2.835541263718131,-0.24883624001591245,-0.27529965541791873,3.689900626512568,0,3.689900626512568,0.0,53906.0
3,458,1.190753508468176,-0.24883624001591245,-0.2491689748086179,0.1104793457350069,1,0.2209586914700138,0.9697948169981622,1614.0
3,472,-1.7902998074366363,-0.24883624001591245,-0.23982622148363858,2.2952768582926844,0,2.2952768582926844,0.0,29051.0
4,90,-0.5624328782825949,-0.21423644430314662,-0.20653804690754032,5.411708224169548,0,5.411708224169548,0.0,79060.0
4,205,-0.164444156501208,-0.21423644430314662,-0.21349636018814508,3.558749185107194,0,3.558749185107194,0.0,25995.0
4,286,-0.2335445652801789,-0.21423644430314662,-0.21419127995421694,0.0764593737211913,1,0.1529187474423826,0.0806258178377963,1117.0
5,6,1.8180509881511036,-0.2917311653967812,-0.33245791156573024,0.3356801760429185,1,0.671360352085837,1.1466906360652658,33882.0
5,7,-2.8355412637181345,-0.2917311653967812,-0.27529965541791873,2.2911116363670496,1,4.582223272734099,0.0,33471.0
5,16,0.0,-0.2917311653967812,-0.2917311653967812,2.3449857188086463,0,2.3449857188086463,0.0,36248.0
5,285,0.07450027214294601,-0.2917311653967812,-0.2922592430282817,0.0531082457847253,0,0.0531082457847253,0.02139202635822071,10721.0
5,288,2.2357603684028042,-0.2917311653967812,-0.31545904998098057,0.1590324711009069,0,0.1590324711009069,2.076727897301897,16052.0
5,289,2.5664500520947087,-0.2917311653967812,-0.30302524245247836,0.0659431926020207,0,0.0659431926020207,2.500506859492688,6656.0
5,292,-2.990455682152458,-0.2917311653967812,-0.2868882425347912,0.6402873605980514,1,1.2805747211961027,1.7098809609563552,9354.0
5,29,-0.5398764219185255,-0.2917311653967812,-0.2837042423771276,5.878404741654849,0,5.878404741654849,0.0,85878.0
6,220,1.152549283960969,-0.33245791156573024,-0.3694553150929189,0.2405103581139806,0,0.2405103581139806,0.9120389258469813,48552.0
6,290,-0.06697230397619336,-0.33245791156573024,-0.33180201249509317,0.1748505151676717,0,0.1748505151676717,0.0,14726.0
6,455,1.131083995918338,-0.33245791156573024,-0.3780759312913599,0.3021785375537759,0,0.3021785375537759,0.8289054583645622,61001.0
206,458,0.8425585982761274,-0.24904410809114494,-0.2491689748086179,0.0585937546153444,1,0.1171875092306888,0.7253710890454387,856.0
220,455,0.9774124437887546,-0.3694553150929189,-0.3780759312913599,0.0660818952306908,0,0.0660818952306908,0.9113305485580638,13340.0
250,455,-0.3554019436460034,-0.38527796076094667,-0.3780759312913599,0.1518298417406802,0,0.1518298417406802,0.2035721019053232,30650.0
287,414,0.2543650471864442,-0.22985091850311357,-0.23637964941010525,0.1923062409858057,0,0.1923062409858057,0.0620588062006385,38821.0
287,447,0.32835316991150565,-0.22985091850311357,-0.23720299020706254,0.3355216587530097,0,0.3355216587530097,0.0,33866.0
288,290,0.8051703844493598,-0.31545904998098057,-0.33180201249509317,0.304155050012325,0,0.304155050012325,0.5010153344370334,30700.0
288,461,0.29281874119379836,-0.31545904998098057,-0.3157364775883397,0.0141972047774482,0,0.0141972047774482,0.2786215364163502,1433.0
289,461,2.2714724885385706,-0.30302524245247836,-0.3157364775883397,0.0838556463617042,0,0.0838556463617042,2.1876168421768662,8464.0
290,367,0.0,-0.33180201249509317,-0.33180201249509317,0.2628216666686306,0,0.2628216666686306,0.0,26528.0
290,461,-0.8302566558398397,-0.33180201249509317,-0.3157364775883397,0.2899578452348768,1,0.5799156904697536,0.25034096537008566,29267.0
292,458,-2.849417870603954,-0.2868882425347912,-0.2491689748086179,5.233736539590231,0,5.233736539590231,0.0,76460.0
446,447,0.0,-0.23720299020706254,-0.23720299020706254,0.0078961425035773,0,0.0078961425035773,0.0,797.0
454,455,0.0,-0.3780759312913599,-0.3780759312913599,0.0259770208837888,0,0.0259770208837888,0.0,5244.0
